
,
,
,
,
,
,
,
,
,
461,46
457,46
453,46
438,46
429,45
446,46
420,45
411,45
402,44
393,44
383,44
375,44
367,44
359,45
353,46
348,46
344,47
339,48
337,48
335,49
334,50
332,51
331,53
330,54
329,56
328,58
326,60
326,62
325,64
324,67
323,70
323,72
323,74
323,76
323,78
323,79
323,82
323,83
323,85
323,87
322,89
321,92
320,95
320,97
317,99
316,100
315,102
312,103
309,105
306,107
304,107
301,108
298,109
295,110
292,111
289,112
286,113
281,114
278,114
276,116
274,117
272,118
270,119
269,120
267,123
266,124
265,125
265,128
264,130
263,131
263,133
263,136
262,139
262,141
262,144
262,147
262,150
262,152
262,154
262,156
262,159
262,160
262,162
262,164
262,166
261,168
260,169
259,171
257,172
255,173
254,174
252,176
249,177
248,177
246,178
244,179
243,179
241,179
240,179
239,180
238,180
237,180
235,180
234,180
232,180
230,180
227,179
225,177
222,176
219,172
218,169
215,164
212,160
210,154
209,150
208,145
208,141
208,138
208,135
208,131
209,125
210,119
211,112
213,105
215,98
216,92
217,87
217,84
217,80
217,78
217,75
215,74
214,72
212,71
209,69
206,68
203,67
199,67
195,67
191,67
186,67
180,69
176,71
171,76
167,81
164,87
163,93
163,102
163,110
163,117
165,124
169,131
173,136
177,139
180,144
181,147
183,151
183,153
183,156
181,160
176,165
171,171
165,177
158,183
150,188
140,194
133,198
123,202
118,203
111,203
108,203
105,202
103,200
99,198
98,196
96,195
95,195
95,194
93,194
90,194
86,194
82,195
75,197
69,199
60,202
49,205
36,209
24,212
8,217
555,16
545,25
537,35
528,45
521,55
514,65
510,72
508,78
508,82
508,85
509,89
511,95
512,101
513,109
514,117
514,126
514,136
513,143
511,150
510,155
508,160
506,165
503,169
500,173
498,175
497,176
494,178
492,179
491,179
490,179
488,179
486,179
483,178
478,176
474,173
469,172
466,169
460,165
456,163
452,160
449,158
445,155
442,154
438,151
435,150
430,147
426,145
421,143
416,141
411,139
405,138
401,138
398,137
395,137
392,137
391,137
389,137
387,137
386,137
385,138
384,139
383,140
383,143
382,146
382,148
381,151
381,154
381,156
381,158
380,161
380,163
380,165
380,168
380,170
380,171
380,174
380,176
380,178
380,180
379,183
379,184
378,186
377,187
377,188
376,189
376,190
374,191
373,192
372,192
370,192
369,192
367,192
365,192
363,192
361,191
359,190
357,190
354,188
351,186
346,186
341,184
336,183
331,183
326,182
323,182
320,182
318,182
317,182
316,182
315,184
314,184
313,187
314,186
312,189
312,191
312,193
312,194
312,195
312,197
312,199
312,201
312,204
312,205
311,206
311,208
310,209
309,210
308,211
307,212
306,212
305,212
304,213
303,213
305,212
306,210
307,209
309,208
309,206
310,206
310,205
311,205
311,204
312,202
313,202
314,202
315,202
317,201
321,201
327,201
332,199
338,197
345,194
353,191
361,189
369,187
384,186
395,186
398,188
376,186
389,186
401,190
401,193
402,196
401,201
397,207
391,213
382,220
372,226
361,232
348,238
335,241
322,242
307,242
293,242
278,242
262,242
241,239
218,236
189,231
160,227
129,222
99,215
73,210
47,199
27,189
8,177
376,1
317,6
264,9
225,12
290,7
242,10
210,13
198,15
186,17
176,18
169,19
165,19
163,19
162,19
160,18
159,17
158,15
157,14
155,12
154,10
152,9
150,7
148,6
146,5
143,4
140,3
137,3
134,2
133,1
